random_id,baseline_response,post_survey_response
pt6140msbgv,"{""baseline-age"":22,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Reggae"",""Hip-Hop / Rap"",""R&B / Soul"",""Rock"",""Pop"",""Classical"",""Jazz"",""Latin / Reggaeton""],""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":6}","{""reflect-study-mood"":7,""reflect-study-motivation"":5,""reflect-listening-device"":""Earbuds"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""Me like both"",""reflect-difficulties"":""I did not know music was playing until I turned the volume up. A notification or message before hand would have been helpful to know"",""reflect-feedback"":null}"
ptn21ywmnxy,"{""baseline-age"":20,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Classical"",""Jazz"",""Rock""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Coffee shop"",""Home"",""Library""],""baseline-study-motivation"":5}","{""reflect-study-mood"":5,""reflect-study-motivation"":5,""motivation_ranking"":[""Silence"",""Lyrical Music"",""Upbeat Instrumental"",""Chill Instrumental""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I'm sorry I don't remember. The lyrical music was nice, but all of them were nice. "",""reflect-difficulties"":""no"",""reflect-feedback"":""no""}"
ptqpgoe1lzp,"{""baseline-age"":20,""baseline-race"":[""White""],""baseline-listen-frequency"":""Never"",""baseline-listening-device"":""I don't listen to music when studying"",""baseline-music-type"":[""none""],""baseline-study-location"":[""Home""],""baseline-study-hours"":""10+"",""baseline-study-motivation"":5}","{""reflect-study-mood"":8,""motivation_ranking"":[""Upbeat Instrumental"",""Lyrical Music"",""Silence"",""Chill Instrumental""],""reflect-study-motivation"":8,""reflect-listening-device"":""Over-ear headphones"",""reflect-device"":""Desktop Computer"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""I like both tracks, I've heard the one with words a million times. I'd listen to both songs but I wouldn't choose them, but if they came up I wouldn't skip them."",""reflect-difficulties"":""no"",""reflect-feedback"":"":)""}"
ptr40uhsdof,"{""baseline-age"":19,""baseline-race"":[""Asian"",""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Classical"",""Jazz"",""Rock"",""K-Pop / J-Pop"",""Podcasts / Spoken Word"",""Pop""],""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":4}","{""reflect-study-mood"":8,""reflect-study-motivation"":6,""motivation_ranking"":[""Silence"",""Chill Instrumental"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I enjoyed the songs, but it definitely made it harder to focus, I feel like the less stimulating the song, the more I can focus on the work"",""reflect-difficulties"":""No"",""reflect-feedback"":""Very well done, I am very interested in my performance and the findings of this study!""}"
ptr747qpxgf,"{""baseline-age"":22,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Classical"",""Pop"",""Rock"",""Ambient / New Age"",""Reggae"",""Electronic / EDM"",""Latin / Reggaeton""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":6}","{""reflect-study-mood"":7,""reflect-study-motivation"":7,""reflect-listening-device"":""Speakers/Out loud"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":null,""reflect-difficulties"":null,""reflect-feedback"":null}"
pu2ott0zun5,"{""baseline-age"":21,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Lo-fi / Chillhop"",""Rock"",""Hip-Hop / Rap"",""Electronic / EDM"",""Pop""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":5}","{""reflect-study-mood"":8,""reflect-study-motivation"":5,""motivation_ranking"":[""Chill Instrumental"",""Lyrical Music"",""Upbeat Instrumental"",""Silence""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""Chill instrumental "",""reflect-difficulties"":null,""reflect-feedback"":null}"
pubjtuynly5,"{""baseline-age"":20,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Lo-fi / Chillhop"",""Pop"",""R&B / Soul"",""Hip-Hop / Rap"",""Reggae"",""Latin / Reggaeton"",""K-Pop / J-Pop"",""Podcasts / Spoken Word""],""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":7}","{""reflect-study-mood"":8,""reflect-study-motivation"":8,""motivation_ranking"":[""Chill Instrumental"",""Lyrical Music"",""Upbeat Instrumental"",""Silence""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""Both of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""I liked the tracks used for chill/lofi and the pop song."",""reflect-difficulties"":""N/A"",""reflect-feedback"":""N/A""}"
puv87vfsj5s,"{""baseline-age"":40,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Ambient / New Age"",""Classical"",""Nature Sounds / White Noise"",""other""],""baseline-music-type-Comment"":""Binaural sounds"",""baseline-study-hours"":""10+"",""baseline-study-location"":[""Library"",""Home"",""Coffee shop""],""baseline-study-motivation"":6}","{""reflect-study-mood"":10,""reflect-study-motivation"":8,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Over-ear headphones"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I didn't like the techno music "",""reflect-difficulties"":""No"",""reflect-feedback"":""No""}"
pv0sfrxu15r,"{""baseline-age"":18,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Pop"",""R&B / Soul"",""Hip-Hop / Rap"",""K-Pop / J-Pop"",""other"",""Lo-fi / Chillhop"",""Classical""],""baseline-music-type-Comment"":""Indian"",""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":6}","{""reflect-study-mood"":7,""reflect-study-motivation"":5,""motivation_ranking"":[""Silence"",""Upbeat Instrumental"",""Chill Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":null,""reflect-difficulties"":""N/A"",""reflect-feedback"":""N/A""}"
pva7eu86rbk,"{""baseline-age"":20,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Lo-fi / Chillhop"",""Ambient / New Age"",""Pop""],""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Coffee shop"",""Library"",""Home""],""baseline-study-motivation"":4}","{""reflect-study-motivation"":4,""reflect-study-mood"":6,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""chill one "",""reflect-difficulties"":""no"",""reflect-feedback"":""was v tired doing it""}"
pvkh9600sku,"{""baseline-age"":18,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Nature Sounds / White Noise""],""baseline-study-hours"":""10+"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":7}","{""reflect-study-mood"":7,""reflect-study-motivation"":6,""motivation_ranking"":[""Chill Instrumental"",""Upbeat Instrumental"",""Silence"",""Lyrical Music""],""reflect-listening-device"":""Over-ear headphones"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I liked the chill music"",""reflect-difficulties"":null,""reflect-feedback"":null}"
px6gd4x6uup,"{""baseline-age"":18,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Pop"",""R&B / Soul"",""Rock"",""Classical"",""Hip-Hop / Rap""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Library"",""Home""],""baseline-study-motivation"":6}","{""reflect-study-mood"":8,""reflect-study-motivation"":8,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""Both"",""reflect-difficulties"":""No"",""reflect-feedback"":""No""}"
px8xhr37kqe,"{""baseline-age"":21,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Nature Sounds / White Noise"",""other""],""baseline-music-type-Comment"":""Indie"",""baseline-study-location"":[""Home"",""Coffee shop"",""Library""],""baseline-study-hours"":""6-7"",""baseline-study-motivation"":7}","{""reflect-study-mood"":6,""reflect-study-motivation"":7,""reflect-listening-device"":""Speakers/Out loud"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""The second"",""reflect-difficulties"":null,""reflect-feedback"":null}"
pz01s9mqzdk,"{""baseline-age"":18,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""R&B / Soul"",""Hip-Hop / Rap""],""baseline-study-hours"":""10+"",""baseline-study-location"":[""Home"",""Coffee shop""],""baseline-study-motivation"":8}","{""reflect-study-mood"":8,""reflect-study-motivation"":7,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Lyrical Music"",""Upbeat Instrumental""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I liked the instrumental music. "",""reflect-difficulties"":""No. "",""reflect-feedback"":""No. ""}"
pzebk8mndxy,"{""baseline-age"":21,""baseline-race"":[""Middle Eastern or North African""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Classical"",""Lo-fi / Chillhop"",""Jazz"",""Pop"",""Rock"",""R&B / Soul"",""Hip-Hop / Rap""],""baseline-study-hours"":""10+"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":9}","{""reflect-study-mood"":6,""reflect-study-motivation"":2,""motivation_ranking"":[""Lyrical Music"",""Chill Instrumental"",""Upbeat Instrumental"",""Silence""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I only liked the first one "",""reflect-difficulties"":null,""reflect-feedback"":null}"
pztcfa1tggb,"{""baseline-age"":18,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Classical"",""Jazz"",""Nature Sounds / White Noise""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":3}","{""reflect-study-mood"":9,""reflect-study-motivation"":5,""motivation_ranking"":[""Chill Instrumental"",""Lyrical Music"",""Silence"",""Upbeat Instrumental""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""The chill one better"",""reflect-difficulties"":null,""reflect-feedback"":null}"
